Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Steven Adams\adamsst01,C,26,OKC,34,34,28.3,5.0,8.1,.610,0.0,0.0,.000,5.0,8.1,.612,.610,2.0,3.5,.558,3.8,6.5,10.3,2.7,0.6,1.2,1.5,1.9,11.9
2,Bam Adebayo\adebaba01,C,22,MIA,36,36,34.4,5.9,10.2,.580,0.0,0.3,.111,5.9,9.9,.592,.582,3.8,5.6,.677,2.7,8.0,10.6,4.5,1.3,1.2,2.9,2.7,15.6
3,LaMarcus Aldridge\aldrila01,C,34,SAS,33,33,33.0,7.7,15.1,.509,1.0,2.2,.459,6.6,12.8,.518,.543,2.9,3.5,.851,2.2,5.6,7.8,2.4,0.6,1.9,1.3,2.4,19.3
4,Nickeil Alexander-Walker\alexani01,SG,21,NOP,28,0,12.7,2.0,6.0,.341,1.1,3.1,.345,1.0,2.9,.338,.431,0.4,0.6,.611,0.1,2.0,2.1,1.7,0.3,0.1,1.0,1.2,5.5
5,Grayson Allen\allengr01,SG,24,MEM,23,0,16.9,2.7,6.2,.441,1.3,3.3,.387,1.5,3.0,.500,.542,1.0,1.2,.889,0.1,2.1,2.2,1.3,0.2,0.0,0.9,1.4,7.8
6,Jarrett Allen\allenja01,C,21,BRK,36,32,26.6,4.4,6.9,.648,0.0,0.1,.000,4.4,6.8,.656,.648,2.7,4.1,.649,3.3,6.5,9.8,1.3,0.7,1.3,1.2,2.5,11.6
7,Kadeem Allen\allenka01,SG,27,NYK,4,0,10.5,1.8,4.5,.389,0.8,1.5,.500,1.0,3.0,.333,.472,0.3,0.8,.333,0.3,0.5,0.8,2.0,0.5,0.0,1.3,0.8,4.5
8,Al-Farouq Aminu\aminual01,PF,29,ORL,18,2,21.1,1.4,4.8,.291,0.5,2.0,.250,0.9,2.8,.320,.343,1.1,1.6,.655,1.3,3.5,4.8,1.2,1.0,0.4,0.9,1.5,4.3
9,Justin Anderson\anderju01,G,26,BRK,1,0,2.0,1.0,1.0,1.000,0.0,0.0,,1.0,1.0,1.000,1.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
10,Kyle Anderson\anderky01,PF,26,MEM,32,2,17.3,2.0,4.4,.457,0.2,0.8,.231,1.8,3.6,.509,.479,0.8,1.3,.634,1.0,3.0,4.0,2.3,0.7,0.4,0.8,1.4,5.0
11,Ryan Anderson\anderry01,PF,31,HOU,2,0,7.0,1.0,3.5,.286,0.5,2.5,.200,0.5,1.0,.500,.357,0.0,0.0,,0.0,3.5,3.5,1.0,0.5,0.0,0.5,0.5,2.5
12,Giannis Antetokounmpo\antetgi01,PF,25,MIL,35,35,31.0,11.1,20.1,.553,1.7,5.2,.326,9.5,15.0,.632,.595,6.3,10.2,.615,2.5,10.3,12.8,5.6,1.3,1.1,3.5,3.1,30.2
13,Kostas Antetokounmpo\antetko01,PF,22,LAL,2,0,1.5,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
14,Thanasis Antetokounmpo\antetth01,SF,27,MIL,11,0,4.3,0.8,1.5,.563,0.0,0.2,.000,0.8,1.3,.643,.563,0.4,0.7,.500,0.5,0.1,0.5,0.5,0.1,0.1,0.4,0.5,2.0
15,Carmelo Anthony\anthoca01,PF,35,POR,23,23,31.9,6.2,14.3,.435,1.6,3.9,.411,4.6,10.4,.444,.491,2.4,3.0,.812,1.0,5.0,6.0,1.3,1.1,0.7,1.8,3.1,16.5
16,OG Anunoby\anunoog01,SF,22,TOR,36,35,29.8,4.3,8.9,.489,1.4,3.8,.360,3.0,5.1,.585,.566,0.8,1.3,.625,1.1,4.8,5.9,1.6,1.1,0.8,1.3,2.5,10.9
17,Ryan Arcidiacono\arcidry01,PG,25,CHI,34,0,15.0,1.3,3.4,.385,0.8,2.0,.406,0.5,1.4,.354,.504,0.5,0.7,.750,0.4,1.3,1.7,1.5,0.4,0.1,0.5,1.6,4.0
18,Trevor Ariza\arizatr01,SF,34,SAC,29,0,24.5,2.0,5.1,.392,1.4,3.7,.370,0.6,1.4,.450,.527,0.7,0.9,.800,0.7,3.9,4.6,1.5,1.1,0.2,0.9,1.9,6.1
